marginal_distinct_cnt,condition,round,network_size,id
2,control,3,1,ego_ctrl_1
2,control,3,2,ego_ctrl_2
1,control,3,3,ego_ctrl_3
3,control,3,4,ego_ctrl_4
2,control,3,5,ego_ctrl_5
0,control,3,6,ego_ctrl_6
1,control,3,7,ego_ctrl_7
1,control,3,8,ego_ctrl_8
0,control,3,9,ego_ctrl_9
0,control,3,10,ego_ctrl_10
5,control,3,11,ego_ctrl_11
1,control,3,12,ego_ctrl_12
1,control,3,13,ego_ctrl_13
1,control,3,14,ego_ctrl_14
2,control,3,15,ego_ctrl_15
2,control,3,16,ego_ctrl_16
1,control,3,17,ego_ctrl_17
0,control,3,18,ego_ctrl_18
2,control,4,1,ego_ctrl_1
2,control,4,2,ego_ctrl_2
1,control,4,3,ego_ctrl_3
2,control,4,4,ego_ctrl_4
2,control,4,5,ego_ctrl_5
1,control,4,6,ego_ctrl_6
0,control,4,7,ego_ctrl_7
1,control,4,8,ego_ctrl_8
0,control,4,9,ego_ctrl_9
1,control,4,10,ego_ctrl_10
3,control,4,11,ego_ctrl_11
1,control,4,12,ego_ctrl_12
